#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
601,BAILEY ZAPPE,QB,KC,-,-,-,-,-,BYE,-,-,-,-,-,-,-,-,-,-,-,,,0.0
601,MAURICE ALEXANDER,WR,CHI,-,-,-,-,-,-,BYE,-,-,-,-,-,0,0,-,-,-,,0.0,0.0
601,JIMMY GAROPPOLO,QB,LAR,-,-,-,-,-,BYE,-,-,-,-,-,-,-,-,-,-,-,,,0.0
601,JOSHUA KELLEY,RB,FA,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,,0.0,0.0
601,TYLER MABRY,TE,CAR,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,,0.0,0.0
601,SETH WILLIAMS,WR,LV,-,-,-,-,-,-,-,-,-,BYE,0,-,-,0,-,-,-,,0.0,0.0
601,JAMES MITCHELL,TE,CAR,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,,0.0,0.0
601,TAY MARTIN,WR,WAS,-,-,-,-,-,-,-,-,-,-,-,-,-,BYE,-,-,-,,,0.0
601,JALEN CROPPER,WR,DAL,-,-,-,-,-,-,BYE,-,-,0,-,-,-,-,-,-,-,,0.0,0.0
601,JACK WESTOVER,TE,NE,-,-,-,-,-,-,-,-,-,-,-,0,-,BYE,-,-,-,,0.0,0.0
601,BAYLOR CUPP,TE,FA,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,,0.0,0.0
601,MITCHELL WILCOX,TE,FA,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,,0.0,0.0
601,KAZMEIR ALLEN,WR,WAS,-,-,-,-,-,-,-,-,-,-,-,0,-,BYE,-,-,-,,0.0,0.0
601,KADEN DAVIS,WR,CLE,-,-,-,-,-,-,-,-,-,BYE,-,-,-,-,-,-,-,,,0.0
601,TONY JONES,RB,FA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,0.0
601,JARED WAYNE,WR,HOU,-,-,-,-,-,-,-,-,-,-,-,-,0,BYE,-,0,0,,0.0,0.0
601,LAQUON TREADWELL,WR,IND,-,-,-,-,-,-,-,-,-,-,-,-,0,BYE,-,-,-,,0.0,0.0
601,CJ BEATHARD,QB,FA,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,,0.0,0.0
601,ALEX ERICKSON,WR,FA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,,0.0,0.0
