#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
14,JARED GOFF,QB,DET,14,23.9,19,12.4,27.4,22.4,10.4,13.7,BYE,21.1,16.7,18.2,16.3,6.4,31.1,14.3,12.8,,17.5,280.3
15,KEENAN ALLEN,WR,FA,14.2,31.1,45.5,12.2,-,21.5,9.5,14.9,15.7,40.5,27.6,22.6,10.8,12.8,-,-,-,,21.5,278.9
16,BAKER MAYFIELD,QB,TB,16,18.4,11,23.9,BYE,7.8,17.2,21.4,19,19.3,11.3,14.4,10.9,20.1,29,19.8,18.3,,17.4,277.9
17,MIKE EVANS,WR,TB,18.6,29.1,17,7,BYE,8.9,20.2,12.9,12.7,26.3,15.3,25,29.2,1.8,15.7,27.6,10,,17.3,277.3
18,DJ MOORE,WR,CHI,4.5,16.4,13.1,27.1,49,10.1,13.4,9.5,5.4,10.9,22.6,22.4,BYE,26.8,9.2,4.8,30.9,,17.3,276.1
19,TUA TAGOVAILOA,QB,MIA,28.1,13.3,28.4,15,18.9,22.5,11.3,22.8,12.4,BYE,18.6,9.8,19.2,9.1,13,15.5,16.9,,17.2,274.7
20,SAM HOWELL,QB,MIN,16.2,21.3,4.6,19.6,26.4,18.3,10.5,32,18.7,24.2,20.7,18.3,20.2,-,9.3,0.2,8.7,,16.8,269.1
21,TRAVIS ETIENNE,RB,JAC,21.4,6.2,17.8,10.2,36.4,23.3,22.7,25.9,BYE,6.4,8.9,12.6,17.9,17.2,9.9,6.1,25.8,,16.8,268.7
22,RAHEEM MOSTERT,RB,LV,13,25.7,45.2,5.5,15.8,34.2,6.1,10.6,14.5,-,10.3,21.4,12.1,23,18.3,12,-,,17.8,267.7
23,RUSSELL WILSON,QB,NYG,15.2,26.9,15.2,22.2,18.7,8.9,13.9,17.6,-,18.7,14.5,16.8,18.8,16.5,17.5,23.5,-,,17.7,264.9
24,BREECE HALL,RB,NYJ,15.7,0.9,3.7,9.9,28.4,20.3,BYE,21.3,10,10.5,18.3,11.9,10.5,26.6,2.8,43.1,27.6,,16.3,261.5
25,CJ STROUD,QB,HOU,10.7,21.5,20.6,21.8,14.2,15.2,BYE,12.9,41.8,20,18.3,30.9,16.1,3.6,-,-,12.9,,18.6,260.5
26,TREVOR LAWRENCE,QB,JAC,18.7,9.2,15.4,16.5,15.7,15.7,18.1,15.7,BYE,4.1,32.2,25.6,25.1,20.4,14.7,11.3,-,,17.2,258.3
27,STEFON DIGGS,WR,NE,26.2,13.6,19.1,36,24.1,20,17.8,16,22.6,6.4,6.7,19.4,-,6.4,8.8,7.9,7.1,,16.1,258.1
28,JAMARR CHASE,WR,CIN,9.1,8.1,26.1,14.3,52.2,14,BYE,25.2,8.1,23.4,9.2,12.1,31.6,5.9,10.4,-,7.1,,17.1,256.8
29,KYREN WILLIAMS,RB,LAR,17.4,28,8.5,27.7,7.7,21.8,-,-,-,BYE,-,38.4,20.2,14.3,24.5,16.4,30.1,,21.3,255.0
30,RACHAAD WHITE,RB,TB,6.9,21.3,7.2,10.8,BYE,6.8,15.9,17.9,27.9,17.8,17.8,13,19.6,21.5,21.9,19.7,8.6,,15.9,254.6
31,MATTHEW STAFFORD,QB,LAR,14.5,16,13.5,17.2,16.9,13.2,15,12.4,-,BYE,10.7,24.4,23,23.7,18.5,20.7,14.6,,16.9,254.1
32,DAVANTE ADAMS,WR,LAR,12.6,20.4,42.2,15.5,8.5,4.9,12.7,2.1,7.4,14.6,21.2,12.3,-,12.3,24.1,1.4,37.6,,15.6,249.8
33,BRANDON AIYUK,WR,SF,32.9,7.3,-,20.8,9.8,11.6,10.7,15.9,BYE,14.5,26.6,13,15.6,16.6,6.7,17.3,24.4,,16.2,243.7
34,MICHAEL PITTMAN,WR,IND,23.7,13.6,16.7,4.5,10.2,19.9,16.3,18,14.4,16.4,BYE,20.7,27.5,19.5,11.8,-,9.6,,16.2,242.8
35,JOE MIXON,RB,HOU,10.3,13.5,14,8.6,13.4,9.2,BYE,20,17.8,12.5,21,8,29.7,21.5,15.1,9,18.7,,15.1,242.3
36,JUSTIN HERBERT,QB,LAC,20.9,22.2,29.3,24.4,BYE,20.1,12.9,24,7.1,29.4,25.7,14.4,8,2.8,-,-,-,,18.6,241.2
37,DEEBO SAMUEL,WR,WAS,11.3,22.1,25.1,0.6,11.5,1.1,-,-,-,15.9,9.2,22.4,35.8,34,21.9,9.4,18.2,,17.0,238.5
38,JAHMYR GIBBS,RB,DET,8,12.6,9.2,9.1,-,-,27.6,29.9,BYE,26.2,21.5,11.3,6.4,17.2,24.8,24,5.3,,16.7,233.1
39,ALVIN KAMARA,RB,NO,-,-,-,21.4,18.7,17.4,29.3,27,11,18.5,BYE,15.9,28.9,13.5,16,8.5,6.9,,17.9,233.0
40,JUSTIN FIELDS,QB,NYJ,15.5,16.7,11.7,28.9,33,5.9,BYE,-,-,-,21.2,10.6,-,24.7,11.6,25.5,25.2,,19.2,230.6
41,ADAM THIELEN,WR,CAR,3.2,20.4,31.5,15.2,27.7,28.5,BYE,15.2,7.9,10.2,15.4,1.2,5.5,12.4,8.3,15.4,9.8,,14.2,227.8
42,DEVONTA SMITH,WR,PHI,17.7,23.1,6.8,14.8,1.6,9.4,8.9,22.9,14.1,BYE,15.9,23.6,24.6,10.3,10,17.9,6,,14.2,227.6
43,AMARI COOPER,WR,FA,6.7,16,24.6,2.6,-,14.8,4.2,14.9,24.9,15.8,7.4,3.6,6.4,12.7,20.9,51.5,-,,15.1,227.0
44,NICO COLLINS,WR,HOU,14,27.6,5.4,35.8,6.9,12,BYE,7,14.4,-,13.5,23.4,34.1,2.3,-,13.8,15.7,,16.1,225.9
45,SAM LAPORTA,TE,DET,8.9,11.3,22.4,9.6,19.7,7.6,11.2,19.7,BYE,8,6.8,17.7,29,4.7,28.6,4.8,15.4,,14.1,225.4
46,DERRICK HENRY,RB,BAL,13.9,18.5,2,24.4,9.2,19.3,-,16.2,19.2,3,5.4,20.6,25,18.1,5,21.4,4.2,,14.1,225.4
47,JAMES COOK,RB,BUF,10.3,19.9,13.2,14.7,5.1,7.1,19.2,8.3,7.9,12,19.2,16,BYE,25.1,36.1,5,5.4,,14.0,224.5
48,DK METCALF,WR,PIT,13.7,13.5,17.2,12.4,-,10.9,-,11.7,6,16.8,20.4,6.2,37.4,13.2,12.8,15.6,15.6,,14.9,223.4
49,DEREK CARR,QB,FA,15.6,7.7,8.1,3.2,15.7,17.3,18.4,18.3,16.7,5.4,-,11.9,9.9,11.8,20.3,26,15.6,,13.9,222.0
50,BIJAN ROBINSON,RB,ATL,20.3,21.2,10,18.7,11.8,13,0.3,12.2,5.9,17.6,BYE,27.3,10.9,19.8,0.4,19.2,11.6,,13.8,220.2
51,TRAVIS KELCE,TE,KC,-,12.6,19.9,12,22.7,21.4,35.9,11.8,4.4,BYE,15.4,15.1,12.1,14.3,7.8,9.4,4.6,,14.6,219.4
52,TJ HOCKENSON,TE,MIN,11.5,25.6,13.8,4.4,10.1,11,19.6,20.8,13.9,30.4,9.5,16,BYE,10.3,12.3,9.8,-,,14.6,219.0
53,CHRIS OLAVE,WR,NO,19.2,14.6,18.4,1.4,9.2,16.6,12.7,9.6,16.6,21.4,BYE,18.4,16.9,12.8,-,23.3,5.6,,14.4,216.7
54,GENO SMITH,QB,LV,9.1,23.1,16.4,9.2,-,13,14.8,15.9,3.7,24.1,13.2,8.3,31,-,-,17.3,16.9,,15.4,215.9
55,ISIAH PACHECO,RB,KC,9.4,8,15.8,24.8,13.4,15.8,16,6.7,6.6,BYE,10.1,25.9,21.3,-,-,10.6,29.5,,15.3,213.9
56,RASHEE RICE,WR,KC,11.6,4,10.9,6.2,13.3,11.2,17,9.6,9.7,BYE,8.2,24.7,14.4,18.2,24.1,11.7,17.7,,13.3,212.5
57,JOSHUA DOBBS,QB,NE,1,25.2,17.1,23.4,10.7,11.1,16.1,24.9,24.9,25.1,17.9,8.5,-,4.6,-,-,-,,16.2,210.7
58,GEORGE PICKENS,WR,DAL,8.6,22.7,11.5,5.5,26.6,-,15.7,9.2,1.9,7.5,7.7,8.8,12.6,6.9,7.7,35.5,20.1,,13.0,208.5
59,GARRETT WILSON,WR,NYJ,14.4,16.3,9.8,15,8.4,17,BYE,17.6,13,18.3,0.9,17.4,8,20.1,5.9,15.8,9.9,,13.0,207.8
60,CALVIN RIDLEY,WR,TEN,24.1,5.2,7,11.8,20.6,6.6,1.5,14.3,-,4,31.1,21.9,7.3,9.3,8.9,25.8,7.9,,13.0,207.3
61,EVAN ENGRAM,TE,DEN,9.9,11.7,13.7,12.9,6.8,11.1,9.5,16.8,BYE,5.2,6.9,9.9,23.2,32.5,6.8,17.5,12,,12.9,206.4
