"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"602","Baylor Cupp","TE","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","-","","0","0"
"602","Nyheim Hines","RB","LAC","-","-","-","-","BYE","-","-","-","-","-","-","-","-","0","-","-","0","","0","0"
"602","Jeff Driskel","QB","FA","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","0","0"
"602","Jake Luton","QB","FA","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","0","0"
"602","Cody Thompson","WR","TB","-","-","-","-","0","-","-","-","-","-","BYE","-","-","-","-","-","-","","0","0"
"602","Jaren Hall","QB","FA","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","","0","0"
"602","Roman Wilson","WR","PIT","-","-","-","-","-","0","-","-","BYE","-","-","-","-","-","-","-","-","","0","0"
"602","D.J. Williams","RB","TB","-","-","-","-","-","0","-","-","-","-","BYE","-","-","-","-","-","-","","0","0"
"602","Equanimeous St. Brown","WR","SF","-","-","-","-","-","0","0","0","BYE","-","-","-","-","-","-","-","-","","0","0"
"602","Teagan Quitoriano","TE","ATL","-","-","-","-","-","0","0","0","0","0","0","0","-","-","-","-","-","","0","0"
"602","Jakob Johnson","RB","HOU","-","0","0","0","-","-","-","-","-","-","-","-","-","BYE","-","-","-","","0","0"
"602","Andrew Beck","TE","NYJ","-","-","-","-","0","0","0","-","-","-","-","BYE","-","-","-","0","-","","0","0"
"602","KJ Hamler","WR","BUF","-","-","-","-","0","-","-","-","-","-","-","BYE","-","-","-","-","-","","0","0"
"602","John Kelly Jr.","RB","FA","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","0","0"
"602","Feleipe Franks","QB","ATL","0","0","0","0","0","0","0","-","-","0","-","0","0","0","0","0","0","","0","0"
"602","Dante Miller","RB","NYG","-","-","-","-","0","0","-","-","-","-","BYE","-","-","-","-","-","-","","0","0"
"602","Trayveon Williams","RB","NE","-","0","0","0","-","-","-","-","0","0","-","-","-","BYE","-","0","0","","0","0"
"602","Trent Taylor","WR","SF","-","-","-","-","0","-","-","-","BYE","-","-","-","-","-","-","-","-","","0","0"
"602","Colson Yankoff","TE","WAS","-","0","-","0","0","-","0","-","-","-","-","-","-","BYE","-","-","-","","0","0"
"602","Ko Kieft","TE","TB","0","0","0","0","0","0","0","0","0","0","BYE","0","0","0","0","0","0","","0","0"
"602","Javon Baker","WR","NE","-","0","-","-","-","-","-","0","0","0","0","0","0","BYE","-","0","0","","0","0"
"602","Trishton Jackson","WR","ARI","-","0","0","-","-","-","-","-","-","-","BYE","-","-","-","-","-","-","","0","0"
"602","Gary Brightwell","RB","CIN","-","-","-","0","-","-","-","-","-","-","-","BYE","-","-","-","-","-","","0","0"
"602","Jalen Guyton","WR","FA","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","0","0"
"602","Brenden Bates","TE","CLE","-","0","0","0","0","-","-","-","-","BYE","-","-","-","-","-","-","0","","0","0"
"602","Bryce Ford-Wheaton","WR","NYG","-","0","0","-","0","-","0","-","-","-","BYE","-","0","0","-","-","-","","0","0"
"602","Travis Vokolek","TE","ARI","-","-","-","0","-","-","-","-","-","-","BYE","-","-","-","-","-","-","","0","0"
"602","Irvin Charles","WR","NYJ","-","0","0","0","0","0","0","0","0","0","0","BYE","0","-","-","-","-","","0","0"
"602","Rodney Williams","TE","FA","-","-","0","-","-","0","-","0","-","-","-","-","-","-","-","-","-","","0","0"
"602","Brayden Willis","TE","SF","-","-","0","-","-","-","-","0","BYE","-","0","0","-","0","0","0","0","","0","0"
"602","Jordan Travis","QB","FA","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","0","0"
"602","Erik Ezukanma","WR","MIA","-","-","0","-","-","BYE","-","-","-","-","-","-","-","-","-","0","-","","0","0"
"602","Robert Tonyan","TE","KC","-","-","0","0","0","BYE","0","0","-","-","-","-","-","-","-","-","-","","0","0"
"602","Keaontay Ingram","RB","KC","-","-","0","-","-","BYE","-","-","-","-","-","-","-","-","-","-","-","","0","0"
