"134","Mac Jones","QB","SF","25.1","14.7","13.3","2.7","0.4","6.9","20","13.2","12.1","8.3","-","1.6","-","-","-","-","-","","10.8","118.4"
"135","Tank Dell","WR","HOU","3.4","13.2","20.5","2.9","5.3","-","BYE","3.1","23.6","12.9","20.9","12.2","0","-","-","-","-","","10.7","118"
"136","Jacksonville Jaguars","DST","JAC","11","8","-4","20","5","12","9","11","BYE","1","7","4","3","6","5","1","18","","7.3","117"
"137","Gabe Davis","WR","FA","3.2","15.2","9.3","12.1","16","0.1","0.6","14.7","0","7.6","0","16.5","-","0","0","19","2.1","","7.3","116.4"
"138","Tyler Allgeier","RB","ATL","21.4","4.8","2.9","1.2","6","5.1","11.2","3.1","9","3.8","BYE","6.4","2.6","4","5.1","14.8","14.8","","7.3","116.2"
"139","Tampa Bay Buccaneers","DST","TB","9","17","5","13","BYE","4","6","4","1","13","4","4","7","7","5","16","1","","7.3","116"
"139","Chicago Bears","DST","CHI","0","2","0","1","10","10","17","1","0","7","9","14","BYE","14","17","3","11","","7.3","116"
"141","Ezekiel Elliott","RB","FA","2.3","1.3","8.7","2.2","3.8","10.9","9.1","3.6","3.2","8.8","-","5.2","9.2","20","4.6","12","10.5","","7.2","115.4"
"141","Romeo Doubs","WR","GB","14.6","3","13.3","9.5","0.4","BYE","9","7.8","3.6","9.1","11.3","3.7","7.2","3.2","3","13.9","2.8","","7.2","115.4"
"143","Denver Broncos","DST","DEN","3","0","2","13","8","5","3","17","BYE","8","9","16","5","14","-2","5","9","","7.2","115"
"144","Aidan O'Connell","QB","LV","-","-","-","10.8","-","-","6","-","8.4","9.4","12.1","13.9","BYE","6","25.9","2.1","20.3","","11.5","115"
"145","Garrett Wilson","WR","NYJ","9.4","14.3","4.8","6","5.4","9","BYE","10.6","6","9.3","-1.1","10.4","5","11.1","2.9","6.8","4.9","","7.2","114.8"
"146","Kenny Pickett","QB","CLE","11.7","11.3","18.5","4.5","12.4","-","15.2","3.9","10.3","6.6","5.1","11.6","3.1","-","-","-","-","","9.5","114.2"
"147","New York Giants","DST","NYG","-1","-1","1","3","12","5","14","12","-1","0","23","12","BYE","8","1","10","16","","7.1","114"
"148","Jonathan Taylor","RB","IND","-","-","-","-","3.4","6.5","18","9.7","12.9","13.5","BYE","21.1","-","-","-","10.3","16.4","","12.4","111.8"
"149","Daniel Carlson","K","LV","5","5","4","5","5","13","7","2","14","14","8","5","BYE","0","9","6","9","","6.9","111"
"150","Justin Jefferson","WR","MIN","15","13.9","20.9","20.5","2.8","-","-","-","-","-","-","-","BYE","2.7","8.4","20.1","5.9","","12.2","110.2"
"151","Greg Joseph","K","SF","5","4","6","3","9","11","12","6","11","10","8","4","-","3","6","6","6","","6.9","110"
"151","Cincinnati Bengals","DST","CIN","7","6","11","5","16","12","BYE","9","6","6","2","5","3","11","7","0","4","","6.9","110"
"153","Brandin Cooks","WR","NO","2.2","-","1.7","2.7","1.3","11","-","11.2","0.7","23.3","4.2","13.2","12.5","3.7","1","8.3","12","","7.3","109"
"153","Eddy Pineiro","K","FA","5","13","11","9","6","3","-","10","8","7","5","6","4","7","9","6","-","","7.3","109"
"155","Joe Flacco","QB","CLE","-","-","-","-","BYE","-","-","-","-","-","-","-","17.2","21.3","19.9","26.8","23.7","","21.8","108.8"
"156","Tyler Lockett","WR","TEN","1","17.9","5.4","5.4","-","9.4","3.8","14.1","3.2","15.2","5.1","3","4.7","8.9","2.1","8.1","1","","6.8","108.3"
"157","Rhamondre Stevenson","RB","NE","8.9","12","6.2","4","2.4","13","8.5","5","18.9","10.2","BYE","16.7","1.9","-","-","-","-","","9","107.7"
"158","Ka'imi Fairbairn","K","HOU","9","8","13","12","15","8","BYE","1","6","-","-","-","-","-","17","2","16","","9.7","107"
"158","Seattle Seahawks","DST","SEA","1","13","3","30","BYE","6","8","10","1","5","4","8","0","6","5","7","0","","6.7","107"
"160","Will Levis","QB","TEN","-","-","-","-","-","-","BYE","26.6","9.7","7","12.5","7.1","11.5","17.6","15.5","-","-1.4","","11.8","106"
"160","Green Bay Packers","DST","GB","15","3","5","3","9","BYE","2","7","12","1","5","15","6","4","6","1","12","","6.6","106"
"160","New England Patriots","DST","NE","6","5","9","3","1","3","5","5","8","6","BYE","12","7","5","7","15","9","","6.6","106"
"163","Cooper Kupp","WR","SEA","-","-","-","-","11.8","20.8","4.9","2.1","4.8","-","1.1","1.8","9.9","17.5","17.1","4.9","8.7","","8.8","105.4"
"164","Los Angeles Chargers","DST","LAC","0","5","8","14","BYE","8","4","9","27","-4","3","3","17","4","-3","7","3","","6.6","105"
"165","Cole Kmet","TE","CHI","4.4","3.8","2.2","20.6","10.2","0.9","0","7.9","17.5","4.6","2","4.3","BYE","6.6","8.3","10.7","0","","6.5","104"
"166","Kareem Hunt","RB","KC","-","-","3.5","1.2","-","13.1","15.1","12.7","9.8","9.2","3.7","2.2","4.8","9","2","7.6","9.1","","7.4","103"
"167","Taysom Hill","TE","NO","0.4","7.7","2.1","2.2","2","5.3","12.8","21.5","16.6","2.3","BYE","6.1","13.4","-","0.5","0.2","9.5","","6.8","102.6"
"168","Evan Engram","TE","DEN","4.9","5.7","6.7","5.9","2.8","4.1","4.5","6.8","BYE","1.2","2.9","4.9","14.2","21.5","2.8","7.5","6","","6.4","102.4"
"169","Drake London","WR","ATL","0","12.7","3.1","8.8","8.7","12.5","5.4","5.5","-","3.6","BYE","9.1","0.8","19.2","2.4","3.9","5.6","","6.8","101.3"
"170","Alexander Mattison","RB","MIA","10.4","1.9","12.5","9.8","10.6","7.2","4.2","3.3","15.3","3.3","6","6.3","-","6.6","-","-0.1","3","","6.7","100.3"
"171","Atlanta Falcons","DST","ATL","12","1","3","3","1","5","11","3","9","4","BYE","12","17","1","7","12","-1","","6.3","100"
"172","Jake Ferguson","TE","DAL","1.1","7.1","4.8","7.7","2.8","1.5","BYE","10.7","15.1","8.6","3.2","3.5","13.7","7.2","4.4","4.5","3.3","","6.2","99.2"
